No,ZR_scale_factor,ROOF_WIDTH_scale_factor,ROAD_WIDTH_scale_factor,Day T2 (City),Night T2 (City),Day TC_URB (City),Night TC_URB (City),Day RH (City),Night RH (City),Day WS (City),Night WS (City),Day SNET_URB (City),Night SNET_URB (City),Day LNET_URB (City),Night LNET_URB (City),Day PBLH (City),Night PBLH (City),Day UC_URB (City),Night UC_URB (City),Model
11,0.931907338,1.037967212,0.606160832,299.52188,293.3228,310.2288,297.29526,51.503452,68.93702,2.1581604,1.0807645,0.012350265,0,-0.006076295,-0.002482787,637.2857,263.248,1.0046779,0.5626883,Model_11
12,1.396028032,0.995111424,1.49096317,299.52325,293.18445,310.77487,296.7699,51.470726,69.41124,1.9345617,0.9526786,0.012578252,0,-0.006329999,-0.002428529,647.28937,262.0485,1.2145923,0.68964833,Model_12
13,0.880411041,0.603653254,1.111666476,299.4957,293.17444,310.36545,296.50284,51.545486,69.582695,2.212704,1.0861459,0.012610796,0,-0.006339387,-0.002394636,636.5344,253.74594,1.2255195,0.69135314,Model_13
14,0.860474618,1.350496494,1.459929462,299.51358,293.13803,310.20834,296.1362,51.418716,69.84396,2.4751728,1.1990578,0.012529586,0,-0.006207607,-0.002319886,631.388,245.74008,1.4226743,0.80286545,Model_14
15,0.575684787,0.919506507,1.443496341,299.51132,293.10535,309.9447,295.78513,51.34999,70.011406,2.750086,1.3170716,0.01259653,0,-0.006220483,-0.002277021,623.962,239.71321,1.5555315,0.8763122,Model_15
16,1.167420026,0.564427892,1.188527663,299.512,293.20322,310.663,296.8278,51.512993,69.3205,1.9470139,0.9610319,0.012622493,0,-0.006377261,-0.002450298,645.43896,262.3185,1.147402,0.64951825,Model_16
17,0.538208859,1.079258627,0.643998634,299.50647,293.20618,309.77808,296.38828,51.451344,69.60086,2.6453621,1.2955985,0.012375944,0,-0.006067923,-0.002343162,623.6506,245.11774,1.2396432,0.6934661,Model_17
18,0.989017759,0.958515919,0.789912761,299.51358,293.26718,310.3651,297.04587,51.52374,69.144356,2.1097593,1.0486242,0.012454015,0,-0.006192292,-0.002459639,639.0655,261.56342,1.0720632,0.6023826,Model_18
19,0.825641842,1.29172826,1.348149342,299.5093,293.1426,310.1744,296.16684,51.4358,69.82468,2.4793906,1.2020086,0.01252162,0,-0.006203461,-0.002323538,630.84357,246.17383,1.3981395,0.7883673,Model_19
20,0.5671465,0.851129259,1.201901391,299.50555,293.12595,309.92972,295.91705,51.395664,69.922035,2.6870873,1.2951221,0.012579815,0,-0.006228473,-0.002296521,624.62244,241.35666,1.4639622,0.82470405,Model_20
21,0.601660385,1.361910793,1.116132239,299.514,293.14145,309.89645,295.99078,51.371735,69.87393,2.7197552,1.311817,0.012469035,0,-0.006123221,-0.002292368,624.14557,241.21942,1.4526448,0.8168957,Model_21
22,1.243429031,1.341739374,0.971527805,299.52823,293.2596,310.5352,297.1003,51.471004,69.13931,2.0267308,1.0067843,0.012420464,0,-0.006163328,-0.002458925,643.23395,263.96075,1.102837,0.62157315,Model_22
23,1.488395956,1.081637114,1.043142957,299.5423,293.2832,310.78418,297.35626,51.432465,68.88885,1.7874424,0.88955104,0.012484078,0,-0.00624094,-0.002512509,651.34644,272.96188,1.0465811,0.59333616,Model_23
24,1.498229145,1.427528383,0.931583913,299.5483,293.31403,310.68747,297.49197,51.41898,68.79142,1.8534578,0.92529076,0.012380358,0,-0.006126716,-0.002515484,649.17175,272.5207,1.0270687,0.5803118,Model_24
25,0.815754186,1.194752813,1.330128006,299.50757,293.1436,310.17853,296.1734,51.44569,69.818924,2.4683645,1.197847,0.012534331,0,-0.006218263,-0.002326713,631.24054,245.5992,1.3894113,0.78385466,Model_25
26,0.683031897,0.68280984,1.341092248,299.50043,293.12268,310.09985,296.02026,51.449066,69.90055,2.530957,1.2230572,0.012624041,0,-0.006292407,-0.002316344,629.45074,244.2209,1.4242738,0.8031747,Model_26
27,1.056630019,0.548515417,0.575422232,299.531,293.38467,310.491,297.72025,51.493546,68.46766,1.8424616,0.92655885,0.012486119,0,-0.0062187,-0.00258784,647.38983,276.83228,0.88900167,0.50016224,Model_27
28,1.267724129,1.270565757,0.782534702,299.5378,293.32367,310.5157,297.4554,51.458138,68.82025,1.9620237,0.9810606,0.012363095,0,-0.006101007,-0.002508542,644.94696,269.15277,1.0095857,0.5681224,Model_28
29,0.986274018,1.325935256,1.058972834,299.51175,293.20255,310.32336,296.63474,51.491695,69.50471,2.262401,1.1141303,0.012455004,0,-0.006177868,-0.002387911,635.88007,253.82289,1.2232382,0.68944716,Model_29
30,1.092017387,1.478991706,1.323027303,299.5149,293.17636,310.4222,296.51483,51.47065,69.60251,2.2464736,1.1008432,0.012484217,0,-0.006202751,-0.002371648,637.39026,252.73628,1.2899508,0.7284489,Model_30
31,0.78605702,0.936233769,0.53367517,299.51605,293.3171,310.07928,297.19064,51.517887,69.00615,2.263816,1.1330005,0.012345192,0,-0.006065266,-0.002466612,633.6869,259.78256,1.0090538,0.5638259,Model_31
32,1.374058225,0.897018359,1.237810816,299.52478,293.22256,310.76382,296.99606,51.4786,69.197334,1.870493,0.9245621,0.012560626,0,-0.006319379,-0.002465061,648.7902,266.10266,1.1313833,0.64136505,Model_32
33,1.355233927,1.483599067,0.572070092,299.5624,293.4403,310.39316,298.0615,51.39038,68.33683,1.9638957,0.9932831,0.012172051,0,-0.005879537,-0.00256801,644.9103,275.7412,0.9025112,0.50594574,Model_33
34,0.957087192,1.339204128,0.672099096,299.52377,293.29962,310.19492,297.14914,51.4882,69.07992,2.2387893,1.118284,0.012304043,0,-0.006026648,-0.002447317,635.4607,259.3753,1.0629944,0.59566754,Model_34
35,0.808549882,0.971218541,0.65762684,299.509,293.27194,310.14136,296.95563,51.530754,69.207695,2.2718444,1.1296564,0.012403201,0,-0.006128763,-0.002436172,634.1191,256.9799,1.0776091,0.6036026,Model_35
36,1.222586385,0.647563901,0.553088468,299.5546,293.44565,310.5723,298.07718,51.41271,68.14088,1.7360364,0.8749191,0.012425881,0,-0.006143337,-0.002636631,651.9333,284.2824,0.8416297,0.47415793,Model_36
37,1.230117186,1.229107916,1.218732907,299.51874,293.20694,310.58304,296.804,51.489532,69.37972,2.0558748,1.0147663,0.012502463,0,-0.006244802,-0.002422911,642.37634,259.7607,1.1898127,0.67273116,Model_37
38,0.672838562,1.123960269,0.771550885,299.50613,293.20676,309.9698,296.48123,51.481148,69.55713,2.4996483,1.227274,0.012416331,0,-0.006119433,-0.002362133,628.3807,248.08652,1.2262878,0.6877616,Model_38
39,1.386067391,1.190392797,1.294182988,299.5268,293.21353,310.72208,296.91907,51.46096,69.29046,1.9400265,0.95791566,0.012519784,0,-0.006271789,-0.002444384,647.0652,263.50574,1.1682669,0.6617038,Model_39
40,1.04541504,1.300982397,1.310003501,299.51178,293.1698,310.4077,296.48196,51.476696,69.63508,2.251763,1.1012536,0.012510906,0,-0.006228884,-0.002370904,636.89014,252.65195,1.290039,0.72775835,Model_40
41,1.107780855,0.510488769,1.050708035,299.5117,293.22073,310.61948,296.91272,51.52396,69.23968,1.9426991,0.96135235,0.012618021,0,-0.006374135,-0.002465997,645.31165,263.92258,1.1069536,0.62601733,Model_41
42,1.329898975,0.843127336,1.097133609,299.5278,293.2465,310.73135,297.11176,51.4776,69.09106,1.8564347,0.9214462,0.012548356,0,-0.006306839,-0.002484247,648.423,268.19528,1.0879554,0.6165889,Model_42
43,1.427610104,0.54043825,0.749897306,299.559,293.38705,310.81586,297.89716,51.376698,68.27879,1.5879755,0.79464155,0.012533415,0,-0.00627588,-0.002623598,657.62354,286.42087,0.8900534,0.5052324,Model_43
44,1.121498348,0.821763239,0.891721891,299.51743,293.2625,310.54044,297.11203,51.517628,69.094574,1.9713895,0.9799303,0.012514193,0,-0.00626361,-0.002481191,643.866,265.1405,1.0617002,0.5987171,Model_44
45,0.938578487,0.533158751,1.418571872,299.49857,293.14328,310.43594,296.3322,51.51586,69.73046,2.2271972,1.0874227,0.012653641,0,-0.00637043,-0.002369942,637.24585,251.3764,1.3109398,0.74151933,Model_45
46,1.204830312,1.258662481,0.997589147,299.52383,293.2483,310.527,297.02274,51.48173,69.189095,2.0413744,1.0124865,0.012445678,0,-0.006188879,-0.002451271,642.33374,262.46008,1.117699,0.6303497,Model_46
47,0.725709361,1.067073419,0.761844696,299.50534,293.21884,310.04703,296.6043,51.499752,69.47244,2.4166024,1.1892432,0.012425241,0,-0.006138045,-0.002382614,630.5431,250.24106,1.1851335,0.6642984,Model_47
48,0.997164761,1.389748956,0.695574061,299.5267,293.29645,310.22916,297.16428,51.46952,69.069305,2.2186756,1.1072654,0.012303178,0,-0.006027015,-0.002449685,636.40405,260.1132,1.0651379,0.5968907,Model_48
49,1.010615635,1.215303413,1.358911676,299.5105,293.16144,310.39066,296.40735,51.472702,69.67687,2.2774537,1.1128479,0.012532791,0,-0.006245858,-0.002362332,636.85016,251.4265,1.3134835,0.7420228,Model_49
50,0.874344624,1.275399659,1.084574994,299.50888,293.18347,310.21964,296.45135,51.474766,69.61505,2.3688128,1.1601949,0.012472878,0,-0.006181992,-0.002361573,633.16113,249.72131,1.2768027,0.719123,Model_50
51,0.899667117,0.64251104,0.514703788,299.51996,293.3718,310.29013,297.55823,51.527332,68.63473,2.0187101,1.015953,0.012430152,0,-0.006156647,-0.002548304,640.85175,270.1569,0.91301686,0.51135474,Model_51
52,1.275754743,0.836316758,0.843592501,299.5336,293.30768,310.6526,297.42288,51.469513,68.79132,1.8334835,0.9139436,0.012490792,0,-0.006241445,-0.002530098,648.9861,272.73813,0.9968174,0.56279355,Model_52
53,0.872161237,0.631233135,0.717504053,299.50446,293.26694,310.32584,297.02023,51.556057,69.13338,2.1027026,1.0456116,0.012525119,0,-0.006266604,-0.0024714,638.58563,261.75607,1.0448052,0.5866939,Model_53
54,0.760649198,0.875203794,0.83250112,299.50024,293.20993,310.14844,296.59702,51.5311,69.491035,2.3368235,1.1505445,0.012495888,0,-0.006216675,-0.002392466,632.69244,252.27611,1.1818413,0.6637663,Model_54
55,1.196064657,0.797420118,0.982153773,299.5207,293.25327,310.62262,297.09146,51.501965,69.1024,1.9233818,0.9556253,0.012538821,0,-0.006292639,-0.002481219,645.79803,266.19205,1.0758548,0.6082973,Model_55
56,0.977257693,1.410983734,0.504744345,299.54172,293.38052,310.08856,297.5816,51.444073,68.746735,2.2483604,1.1354476,0.012158603,0,-0.00586365,-0.002489127,635.03595,263.98032,0.96960527,0.5416404,Model_56
57,0.678669435,0.809040104,0.907697075,299.49695,293.17996,310.06763,296.3651,51.50769,69.64533,2.4409454,1.1947049,0.012533795,0,-0.006239023,-0.002360916,630.1273,248.26196,1.2558929,0.7062413,Model_57
58,0.610391735,1.382805452,1.300449968,299.5165,293.12286,309.9227,295.88263,51.3401,69.940765,2.7495084,1.3197367,0.012502286,0,-0.006140576,-0.002279761,623.82965,240.53915,1.5181265,0.85421914,Model_58
59,0.647231079,0.903766546,1.432365404,299.5084,293.1149,310.02216,295.8968,51.39084,69.96359,2.64466,1.2711359,0.012596508,0,-0.006240955,-0.002293426,626.7958,241.8287,1.4993161,0.84512526,Model_59
60,1.414003313,1.015446089,0.73495141,299.55396,293.3799,310.6663,297.8208,51.41539,68.45002,1.7640073,0.8845945,0.012397517,0,-0.006133704,-0.002578903,651.791,279.19186,0.92832804,0.52409226,Model_60
61,0.734012527,0.698008959,1.016641565,299.49396,293.16727,310.16818,296.35803,51.522736,69.6744,2.374772,1.1610777,0.012579635,0,-0.006289581,-0.002365586,631.8739,249.30418,1.2640119,0.71145004,Model_61
62,1.142711661,0.962465374,1.421917709,299.5118,293.16583,310.56534,296.5412,51.481907,69.58244,2.1201522,1.0394336,0.012580106,0,-0.006312247,-0.002392775,640.9372,255.7349,1.2673091,0.7173731,Model_62
63,1.454760411,0.766729432,1.022265054,299.54126,293.28375,310.82864,297.3863,51.43091,68.82889,1.7205164,0.8555213,0.012546111,0,-0.006307332,-0.002530931,653.6817,275.32288,1.0219673,0.5801172,Model_63
64,1.470490025,1.234622196,1.399223839,299.53052,293.2054,310.78543,296.90802,51.454735,69.30785,1.9076958,0.941708,0.01252856,0,-0.006282349,-0.002443027,648.56903,264.45218,1.1826771,0.6710856,Model_64
65,1.262077511,0.931079572,1.388408121,299.51556,293.1824,310.6744,296.7123,51.494545,69.45778,2.0034208,0.9860776,0.012578237,0,-0.006324802,-0.002420649,644.603,260.13803,1.215691,0.68913615,Model_65
66,1.343250227,0.610413796,1.284390375,299.52313,293.21063,310.8008,296.94128,51.47642,69.21529,1.8390045,0.90843284,0.012620413,0,-0.00638286,-0.002467441,649.5158,266.40445,1.1348314,0.644392,Model_66
67,1.41131672,0.984526558,0.923887682,299.5414,293.30505,310.73007,297.45258,51.44052,68.788956,1.7916174,0.8934234,0.012474903,0,-0.00622781,-0.002529378,651.3882,274.6186,1.0098867,0.5716225,Model_67
68,1.436810977,1.007157628,1.00300087,299.5413,293.28708,310.75995,297.35974,51.4394,68.874855,1.7957376,0.89337766,0.012491182,0,-0.006247355,-0.002515625,650.9245,272.64404,1.0374157,0.5875028,Model_68
69,1.246868737,1.000565387,1.26444897,299.51865,293.1996,310.64526,296.80127,51.487347,69.377945,2.00189,0.98697466,0.012550077,0,-0.006297726,-0.00243183,644.3332,260.745,1.1839205,0.66991884,Model_69
70,0.663820512,0.806179345,0.599822998,299.49872,293.2562,310.00027,296.7945,51.548393,69.3,2.3731036,1.176918,0.012432147,0,-0.006152455,-0.002416595,630.55756,253.23763,1.0952492,0.61286956,Model_70
71,0.630830058,0.880247522,0.554479488,299.5022,293.26355,309.92,296.79984,51.530617,69.29277,2.433146,1.2071593,0.012385237,0,-0.006099543,-0.00240965,628.4451,252.64207,1.095224,0.6120618,Model_71
72,1.285559109,1.182677538,0.803982833,299.5393,293.3199,310.56055,297.45493,51.450027,68.813034,1.9242266,0.96167314,0.012392643,0,-0.006134138,-0.002514751,646.3671,270.53833,1.0066773,0.56709313,Model_72
73,1.291316418,0.782796123,1.088462504,299.52374,293.24057,310.7136,297.08038,51.490105,69.115776,1.8684939,0.9262436,0.012560147,0,-0.006318497,-0.002481634,648.01776,267.4289,1.0899286,0.617144,Model_73
74,1.364387923,1.495574525,0.758318214,299.54758,293.3495,310.51587,297.61237,51.427296,68.704254,1.9540068,0.98058426,0.012294892,0,-0.006027042,-0.002519852,645.62354,271.13617,0.99224836,0.55834407,Model_74
75,0.732680884,0.51489246,1.007232918,299.49136,293.16742,310.20953,296.38608,51.5389,69.65067,2.3259754,1.1399035,0.012620891,0,-0.006337785,-0.002377572,632.9875,250.65256,1.2418171,0.69970965,Model_75
76,1.024448516,0.73534299,0.592637715,299.5268,293.35934,310.4047,297.56793,51.510017,68.66699,1.9548362,0.98085684,0.012432168,0,-0.0061643,-0.002547763,643.54346,271.25177,0.93091583,0.52220756,Model_76
77,0.787067335,0.743873983,1.259363367,299.49796,293.14517,310.22424,296.22412,51.490406,69.78338,2.3933163,1.1652919,0.012603243,0,-0.006300481,-0.002345914,632.5554,247.48715,1.340741,0.7568108,Model_77
78,1.147129592,0.67541383,1.273013407,299.51187,293.1852,310.62344,296.70374,51.505768,69.4391,2.0165935,0.9919271,0.012611461,0,-0.006358709,-0.00242654,643.4113,259.22775,1.1937183,0.6753861,Model_78
79,0.547535822,0.861123686,1.438916986,299.50964,293.10318,309.9218,295.75003,51.346985,70.02135,2.7807825,1.3305959,0.012605162,0,-0.006223006,-0.002273148,622.95087,239.52414,1.5708971,0.88524085,Model_79
80,0.533074359,1.296399709,1.476504172,299.51587,293.10156,309.88635,295.68542,51.302048,70.038506,2.8818562,1.3738629,0.012541862,0,-0.00614636,-0.002254663,620.08215,238.03047,1.6321453,0.9188638,Model_80
81,0.505869873,0.502162004,1.243802201,299.49933,293.10864,309.90466,295.81635,51.400204,69.9962,2.7238176,1.307974,0.01265098,0,-0.006286292,-0.002290464,623.4529,240.4074,1.4959867,0.84206086,Model_81
82,0.944224888,0.829882317,0.880358607,299.50696,293.2315,310.37048,296.84882,51.53577,69.31889,2.137682,1.0581952,0.012515554,0,-0.006254532,-0.002437586,638.39435,258.80768,1.1192764,0.62959146,Model_82
83,1.135409347,1.2654017,0.583025338,299.54276,293.38083,310.31897,297.69016,51.44676,68.63238,2.0545661,1.03429,0.01225626,0,-0.005974172,-0.002527629,641.40875,270.14752,0.9472577,0.53022057,Model_83
84,0.595498778,1.240518059,0.819240876,299.50946,293.18176,309.85995,296.25775,51.425793,69.7021,2.6415102,1.287971,0.012408214,0,-0.006091546,-0.002326152,624.8765,244.66328,1.3127009,0.73661417,Model_84
85,0.511183713,1.368834813,1.461272185,299.5164,293.0991,309.87152,295.65726,51.289272,70.05624,2.922702,1.3903912,0.01252948,0,-0.006129281,-0.00224814,618.9512,237.16968,1.651711,0.92871535,Model_85
86,1.003716553,0.66835298,0.952869482,299.5075,293.22498,310.47827,296.86444,51.533077,69.288445,2.0535223,1.0168518,0.012568871,0,-0.006315637,-0.002449929,640.8872,260.89014,1.1144401,0.62859815,Model_86
87,0.905798994,1.101677941,0.610806222,299.52353,293.31134,310.18808,297.22113,51.484093,68.99704,2.2075393,1.1030176,0.012336243,0,-0.00605996,-0.002467824,636.2929,261.31516,1.0249993,0.57332987,Model_87
88,0.746932781,1.131962631,1.064918818,299.505,293.16608,310.09692,296.28662,51.467506,69.72404,2.475448,1.2062072,0.012498015,0,-0.006192251,-0.00234124,630.28217,246.87366,1.3198065,0.74266326,Model_88
89,0.558545154,0.705102184,1.365095581,299.50616,293.10754,309.94547,295.81583,51.37952,69.99404,2.715831,1.3037031,0.012624328,0,-0.006256321,-0.002285847,623.97253,240.33243,1.5207593,0.85705954,Model_89
90,0.692273871,1.054773611,0.939578078,299.50333,293.17944,310.03436,296.32742,51.477306,69.66364,2.4945123,1.2179796,0.012485363,0,-0.006182006,-0.002347527,629.2699,247.01253,1.2886156,0.7245286,Model_90
91,0.621077096,1.155315512,0.541062901,299.51398,293.26385,309.82452,296.75784,51.472927,69.323944,2.5402675,1.2596215,0.012288056,0,-0.005991919,-0.002385877,626.48694,249.66713,1.129556,0.6309355,Model_91
92,0.888067149,0.893264947,1.227999372,299.50262,293.16287,310.31647,296.37918,51.494682,69.668594,2.3043807,1.1263397,0.012570315,0,-0.006283119,-0.002365783,634.9878,250.46791,1.2932479,0.72980756,Model_92
93,0.698247325,1.201594848,1.121091675,299.5089,293.1536,310.02878,296.15518,51.42786,69.79176,2.562025,1.2434938,0.012497999,0,-0.00617624,-0.002321571,628.0467,244.39288,1.3765862,0.77493185,Model_93
94,0.774879023,1.175020273,0.625927843,299.51462,293.2738,310.03574,296.91705,51.497154,69.242676,2.3702457,1.1793051,0.01232966,0,-0.006045839,-0.002416255,631.313,254.64467,1.0987654,0.6151339,Model_94
95,1.038461925,1.093208011,1.225819716,299.5089,293.18134,310.4353,296.5657,51.496735,69.548546,2.197147,1.0779332,0.012531471,0,-0.006258638,-0.002389345,638.39343,254.41783,1.2473679,0.7038447,Model_95
96,1.068975941,1.151016095,1.404449736,299.51086,293.16245,310.46152,296.45157,51.482296,69.65646,2.2201512,1.0856344,0.012548984,0,-0.006268536,-0.002371765,638.31805,253.00308,1.3014541,0.7355651,Model_96
97,0.716455676,0.567293265,0.678021598,299.4922,293.2427,310.1566,296.79834,51.582855,69.3025,2.2460818,1.1132929,0.012538277,0,-0.006271859,-0.00243668,633.7316,256.0081,1.0847063,0.6083702,Model_97
98,1.295005528,1.167951235,0.512022914,299.56516,293.47623,310.40573,298.22028,51.385662,68.138145,1.896026,0.960943,0.012214489,0,-0.005914715,-0.002608644,646.86115,279.65915,0.85318726,0.47867265,Model_98
99,0.851218453,1.115632269,1.289404732,299.50595,293.1497,310.2335,296.25806,51.46695,69.77254,2.4050548,1.1698745,0.012541159,0,-0.006236831,-0.002340427,632.9051,248.0405,1.3511667,0.7619107,Model_99
100,1.158459157,0.520292335,0.662032112,299.53568,293.36624,310.61136,297.68164,51.47186,68.48865,1.7679657,0.88613325,0.012525958,0,-0.0062675,-0.002586791,649.8128,277.93356,0.90735507,0.5118215,Model_100
